rate_month,currency,cad_per_unit
2022-09,EUR,1.34587339
2022-10,EUR,1.3478032
2022-11,EUR,1.35451841
2022-12,EUR,1.32795133
2023-01,EUR,1.30633013
2023-02,EUR,1.29202352
2023-03,EUR,1.27550975
2023-04,EUR,1.2822246
2023-05,EUR,1.27503004
2023-06,EUR,1.28079775
2023-07,EUR,1.29029203
2023-08,EUR,1.28191888
2023-09,EUR,1.26150214
2023-10,EUR,1.27448303
2023-11,EUR,1.23789467
2023-12,EUR,1.23698247
2024-01,EUR,1.21296465
2024-02,EUR,1.2132799
2024-03,EUR,1.20152446
2024-04,EUR,1.22429466
2024-05,EUR,1.23434622
2024-06,EUR,1.28434125
2024-07,EUR,1.34091647
2024-08,EUR,1.31624226
2024-09,EUR,1.33679684
2024-10,EUR,1.29172753
2024-11,EUR,1.29439628
2024-12,EUR,1.27651792
2025-01,EUR,1.26374112
2025-02,EUR,1.25725751
2025-03,EUR,1.26997139
2025-04,EUR,1.26543577
2025-05,EUR,1.26139672
2025-06,EUR,1.24844297
2025-07,EUR,1.21485742
2025-08,EUR,1.23325704
2025-09,EUR,1.23028074
2025-10,EUR,1.20659252
2025-11,EUR,1.23176805
2025-12,EUR,1.27997318
2021-01,JPY,0.00931025
2021-02,JPY,0.00942731
2021-03,JPY,0.00942621
2021-04,JPY,0.00974599
2021-05,JPY,0.00976864
2021-06,JPY,0.00959453
2021-07,JPY,0.00937402
2021-08,JPY,0.0093625
2021-09,JPY,0.00920917
2021-10,JPY,0.00935213
2021-11,JPY,0.00936921
2021-12,JPY,0.00924893
2022-01,JPY,0.00940453
2022-02,JPY,0.00942337
2022-03,JPY,0.00933449
2022-04,JPY,0.00935296
2022-05,JPY,0.00941481
2022-06,JPY,0.0095784
2022-07,JPY,0.00975069
2022-08,JPY,0.00973105
2022-09,JPY,0.00983972
2022-10,JPY,0.00978439
2022-11,JPY,0.00970335
2022-12,JPY,0.00979063
2023-01,JPY,0.01002688
2023-02,JPY,0.01020468
2023-03,JPY,0.01041757
2023-04,JPY,0.01027736
2023-05,JPY,0.01045709
2023-06,JPY,0.01029954
2023-07,JPY,0.01014948
2023-08,JPY,0.01028653
2023-09,JPY,0.01062471
2023-10,JPY,0.01001865
2023-11,JPY,0.00960602
2023-12,JPY,0.00948435
2024-01,JPY,0.0094582
2024-02,JPY,0.00976902
2024-03,JPY,0.00994999
2024-04,JPY,0.00983611
2024-05,JPY,0.01001834
2024-06,JPY,0.01022622
2024-07,JPY,0.01014797
2024-08,JPY,0.00988985
2024-09,JPY,0.01009653
2024-10,JPY,0.00989145
2024-11,JPY,0.01013873
2024-12,JPY,0.01009221
2025-01,JPY,0.01007623
2025-02,JPY,0.0104184
2025-03,JPY,0.01030112
2025-04,JPY,0.01052652
2025-05,JPY,0.01036616
2025-06,JPY,0.01051861
2025-07,JPY,0.01021456
2025-08,JPY,0.01057462
2025-09,JPY,0.01069035
2025-10,JPY,0.0109561
2025-11,JPY,0.01103781
2025-12,JPY,0.0110414
2021-01,AUD,0.89869542
2021-02,AUD,0.92344407
2021-03,AUD,0.94233843
2021-04,AUD,0.93566946
2021-05,AUD,0.94521387
2021-06,AUD,0.91844219
2021-07,AUD,0.90804584
2021-08,AUD,0.907699
2021-09,AUD,0.92150225
2021-10,AUD,0.90575881
2021-11,AUD,0.87704988
2021-12,AUD,0.86913415
2022-01,AUD,0.85248293
2022-02,AUD,0.84266651
2022-03,AUD,0.80997179
2022-04,AUD,0.85384502
2022-05,AUD,0.84796764
2022-06,AUD,0.84382885
2022-07,AUD,0.86012618
2022-08,AUD,0.84674262
2022-09,AUD,0.85379384
2022-10,AUD,0.85943922
2022-11,AUD,0.85341885
2022-12,AUD,0.83624398
2023-01,AUD,0.81359833
2023-02,AUD,0.7944677
2023-03,AUD,0.78534769
2023-04,AUD,0.75465167
2023-05,AUD,0.72456843
2023-06,AUD,0.73234818
2023-07,AUD,0.71185624
2023-08,AUD,0.68285063
2023-09,AUD,0.68544169
2023-10,AUD,0.67487897
2023-11,AUD,0.68925883
2023-12,AUD,0.68420735
2024-01,AUD,0.68369601
2024-02,AUD,0.67777518
2024-03,AUD,0.67575377
2024-04,AUD,0.67173488
2024-05,AUD,0.67071941
2024-06,AUD,0.68764453
2024-07,AUD,0.69475951
2024-08,AUD,0.71106884
2024-09,AUD,0.69877713
2024-10,AUD,0.71315809
2024-11,AUD,0.72663319
2024-12,AUD,0.71540312
2025-01,AUD,0.70737299
2025-02,AUD,0.72279642
2025-03,AUD,0.72086077
2025-04,AUD,0.70319415
2025-05,AUD,0.70587168
2025-06,AUD,0.73392795
2025-07,AUD,0.73095003
2025-08,AUD,0.71577827
2025-09,AUD,0.74571178
2025-10,AUD,0.73213415
2025-11,AUD,0.73736603
2025-12,AUD,0.73732977
2021-01,SGD,0.98522073
2021-02,SGD,0.99145585
2021-03,SGD,1.00953245
2021-04,SGD,1.00135334
2021-05,SGD,1.02669276
2021-06,SGD,1.05812824
2021-07,SGD,1.0549765
2021-08,SGD,1.04163816
2021-09,SGD,1.06584274
2021-10,SGD,1.10552594
2021-11,SGD,1.11572983
2021-12,SGD,1.16186354
2022-01,SGD,1.16008506
2022-02,SGD,1.17382865
2022-03,SGD,1.16499339
2022-04,SGD,1.17759162
2022-05,SGD,1.16819388
2022-06,SGD,1.20872207
2022-07,SGD,1.19508088
2022-08,SGD,1.17959907
2022-09,SGD,1.19041087
2022-10,SGD,1.22672051
2022-11,SGD,1.18426879
2022-12,SGD,1.23241572
2023-01,SGD,1.22064114
2023-02,SGD,1.2554871
2023-03,SGD,1.25890843
2023-04,SGD,1.28262898
2023-05,SGD,1.2535801
2023-06,SGD,1.24179887
2023-07,SGD,1.25372124
2023-08,SGD,1.25634006
2023-09,SGD,1.31386381
2023-10,SGD,1.28449181
2023-11,SGD,1.31136555
2023-12,SGD,1.28901996
2024-01,SGD,1.30056402
2024-02,SGD,1.33581026
2024-03,SGD,1.37438995
2024-04,SGD,1.40109956
2024-05,SGD,1.42979109
2024-06,SGD,1.40555912
2024-07,SGD,1.42139276
2024-08,SGD,1.37831915
2024-09,SGD,1.36895929
2024-10,SGD,1.39558398
2024-11,SGD,1.37577445
2024-12,SGD,1.36486684
2025-01,SGD,1.38382329
2025-02,SGD,1.40867799
2025-03,SGD,1.39815682
2025-04,SGD,1.4136199
2025-05,SGD,1.45589069
2025-06,SGD,1.46989566
2025-07,SGD,1.46422173
2025-08,SGD,1.43662485
2025-09,SGD,1.42284947
2025-10,SGD,1.42478281
2025-11,SGD,1.41430655
2025-12,SGD,1.37317805
2021-01,BRL,0.26724321
2021-02,BRL,0.26124351
2021-03,BRL,0.25953086
2021-04,BRL,0.25753159
2021-05,BRL,0.25916518
2021-06,BRL,0.26330455
2021-07,BRL,0.26073502
2021-08,BRL,0.25706631
2021-09,BRL,0.25320835
2021-10,BRL,0.25417891
2021-11,BRL,0.25680786
2021-12,BRL,0.25582696
2022-01,BRL,0.25907581
2022-02,BRL,0.25904486
2022-03,BRL,0.25585591
2022-04,BRL,0.25326267
2022-05,BRL,0.25577435
2022-06,BRL,0.26128359
2022-07,BRL,0.26045237
2022-08,BRL,0.25482086
2022-09,BRL,0.25751875
2022-10,BRL,0.25686583
2022-11,BRL,0.2603209
2022-12,BRL,0.26052411
2023-01,BRL,0.26212225
2023-02,BRL,0.26315637
2023-03,BRL,0.26374738
2023-04,BRL,0.2589344
2023-05,BRL,0.26729154
2023-06,BRL,0.2595008
2023-07,BRL,0.25743034
2023-08,BRL,0.24868594
2023-09,BRL,0.24537649
2023-10,BRL,0.2517937
2023-11,BRL,0.25439613
2023-12,BRL,0.25273822
2024-01,BRL,0.25505203
2024-02,BRL,0.26061565
2024-03,BRL,0.26626924
2024-04,BRL,0.27412015
2024-05,BRL,0.27254325
2024-06,BRL,0.26627569
2024-07,BRL,0.26816211
2024-08,BRL,0.26679385
2024-09,BRL,0.2775973
2024-10,BRL,0.28058043
2024-11,BRL,0.2758495
2024-12,BRL,0.27609745
2025-01,BRL,0.28118377
2025-02,BRL,0.27676736
2025-03,BRL,0.27145044
2025-04,BRL,0.26674024
2025-05,BRL,0.2719129
2025-06,BRL,0.28057316
2025-07,BRL,0.27931692
2025-08,BRL,0.27565426
2025-09,BRL,0.28209243
2025-10,BRL,0.27876003
2025-11,BRL,0.27628912
2025-12,BRL,0.27081452
2021-01,AED,0.36784859
2021-02,AED,0.37812122
2021-03,AED,0.37372555
2021-04,AED,0.36184998
2021-05,AED,0.36916591
2021-06,AED,0.37107935
2021-07,AED,0.3712609
2021-08,AED,0.35972204
2021-09,AED,0.3659594
2021-10,AED,0.35717885
2021-11,AED,0.35842888
2021-12,AED,0.35454429
2022-01,AED,0.36546537
2022-02,AED,0.37945209
2022-03,AED,0.3816212
2022-04,AED,0.3690433
2022-05,AED,0.37870255
2022-06,AED,0.38147366
2022-07,AED,0.3847348
2022-08,AED,0.39112483
2022-09,AED,0.39209508
2022-10,AED,0.38594064
2022-11,AED,0.37724281
2022-12,AED,0.39570644
2023-01,AED,0.38171838
2023-02,AED,0.39027607
2023-03,AED,0.3827794
2023-04,AED,0.36531926
2023-05,AED,0.36478341
2023-06,AED,0.36206279
2023-07,AED,0.35085467
2023-08,AED,0.33357564
2023-09,AED,0.32626528
2023-10,AED,0.33313018
2023-11,AED,0.33981397
2023-12,AED,0.33902328
2024-01,AED,0.33815746
2024-02,AED,0.34938979
2024-03,AED,0.33320805
2024-04,AED,0.34046776
2024-05,AED,0.35400648
2024-06,AED,0.35708476
2024-07,AED,0.34948157
2024-08,AED,0.35048173
2024-09,AED,0.35849734
2024-10,AED,0.36648019
2024-11,AED,0.36347155
2024-12,AED,0.35334675
2025-01,AED,0.36898496
2025-02,AED,0.37403772
2025-03,AED,0.36646017
2025-04,AED,0.36828725
2025-05,AED,0.35385512
2025-06,AED,0.36094331
2025-07,AED,0.37406799
2025-08,AED,0.36619242
2025-09,AED,0.36248712
2025-10,AED,0.36453729
2025-11,AED,0.37754485
2025-12,AED,0.36881148
2021-01,KES,0.0091544
2021-02,KES,0.00907791
2021-03,KES,0.00920357
2021-04,KES,0.00922304
2021-05,KES,0.00919375
2021-06,KES,0.00936181
2021-07,KES,0.00925299
2021-08,KES,0.00933516
2021-09,KES,0.00938327
2021-10,KES,0.00952809
2021-11,KES,0.0094982
2021-12,KES,0.00943674
2022-01,KES,0.00950695
2022-02,KES,0.00946573
2022-03,KES,0.00928773
2022-04,KES,0.0091138
2022-05,KES,0.00893487
2022-06,KES,0.00902007
2022-07,KES,0.0088209
2022-08,KES,0.00875958
2022-09,KES,0.008427
2022-10,KES,0.00844044
2022-11,KES,0.00861226
2022-12,KES,0.00876668
2023-01,KES,0.00876313
2023-02,KES,0.00885653
2023-03,KES,0.00895996
2023-04,KES,0.00898858
2023-05,KES,0.0090158
2023-06,KES,0.00880907
2023-07,KES,0.00878107
2023-08,KES,0.00897573
2023-09,KES,0.00892736
2023-10,KES,0.0090404
2023-11,KES,0.00898774
2023-12,KES,0.00913175
2024-01,KES,0.00886112
2024-02,KES,0.00871528
2024-03,KES,0.00869484
2024-04,KES,0.00850838
2024-05,KES,0.00853027
2024-06,KES,0.00855959
2024-07,KES,0.00851599
2024-08,KES,0.00839814
2024-09,KES,0.0085527
2024-10,KES,0.00847129
2024-11,KES,0.00854554
2024-12,KES,0.00849382
2025-01,KES,0.00841331
2025-02,KES,0.008173
2025-03,KES,0.00827535
2025-04,KES,0.00833898
2025-05,KES,0.00827741
2025-06,KES,0.00829107
2025-07,KES,0.00842775
2025-08,KES,0.00864061
2025-09,KES,0.00863642
2025-10,KES,0.00892674
2025-11,KES,0.00902703
2025-12,KES,0.00931819
2021-01,INR,0.01596113
2021-02,INR,0.01582239
2021-03,INR,0.01615843
2021-04,INR,0.01676083
2021-05,INR,0.0171379
2021-06,INR,0.01719925
2021-07,INR,0.01708712
2021-08,INR,0.01668396
2021-09,INR,0.0162958
2021-10,INR,0.01652101
2021-11,INR,0.01692054
2021-12,INR,0.01707627
2022-01,INR,0.01726047
2022-02,INR,0.01726333
2022-03,INR,0.01801235
2022-04,INR,0.01871053
2022-05,INR,0.01883026
2022-06,INR,0.01882508
2022-07,INR,0.01834093
2022-08,INR,0.01875043
2022-09,INR,0.01897164
2022-10,INR,0.01775959
2022-11,INR,0.01794006
2022-12,INR,0.01832119
2023-01,INR,0.01867565
2023-02,INR,0.01865226
2023-03,INR,0.01866258
2023-04,INR,0.01761797
2023-05,INR,0.01728058
2023-06,INR,0.01740725
2023-07,INR,0.01722795
2023-08,INR,0.01693085
2023-09,INR,0.01669025
2023-10,INR,0.01679126
2023-11,INR,0.01707423
2023-12,INR,0.01672521
2024-01,INR,0.01676948
2024-02,INR,0.01630096
2024-03,INR,0.01679572
2024-04,INR,0.01754715
2024-05,INR,0.01727354
2024-06,INR,0.01706642
2024-07,INR,0.01724994
2024-08,INR,0.01675781
2024-09,INR,0.01694609
2024-10,INR,0.01706238
2024-11,INR,0.01651441
2024-12,INR,0.0166115
2025-01,INR,0.01659219
2025-02,INR,0.01699178
2025-03,INR,0.016945
2025-04,INR,0.01661501
2025-05,INR,0.01624718
2025-06,INR,0.01584908
2025-07,INR,0.01603522
2025-08,INR,0.01591459
2025-09,INR,0.01626496
2025-10,INR,0.01667282
2025-11,INR,0.01661282
2025-12,INR,0.01641895
2021-01,MXN,0.07337242
2021-02,MXN,0.07041958
2021-03,MXN,0.07225491
2021-04,MXN,0.07460584
2021-05,MXN,0.07658167
2021-06,MXN,0.07739464
2021-07,MXN,0.08038965
2021-08,MXN,0.0824624
2021-09,MXN,0.0828132
2021-10,MXN,0.08193332
2021-11,MXN,0.08377783
2021-12,MXN,0.08636056
2022-01,MXN,0.08694879
2022-02,MXN,0.09028542
2022-03,MXN,0.08821207
2022-04,MXN,0.08495788
2022-05,MXN,0.08429818
2022-06,MXN,0.08479319
2022-07,MXN,0.08415166
2022-08,MXN,0.08416751
2022-09,MXN,0.08464014
2022-10,MXN,0.0838562
2022-11,MXN,0.08076845
2022-12,MXN,0.0828544
2023-01,MXN,0.07986726
2023-02,MXN,0.08217818
2023-03,MXN,0.08625828
2023-04,MXN,0.0841688
2023-05,MXN,0.08415792
2023-06,MXN,0.08407607
2023-07,MXN,0.08298045
2023-08,MXN,0.08136194
2023-09,MXN,0.0822825
2023-10,MXN,0.08235489
2023-11,MXN,0.08050726
2023-12,MXN,0.07992047
2024-01,MXN,0.07977978
2024-02,MXN,0.07775421
2024-03,MXN,0.07723015
2024-04,MXN,0.07809312
2024-05,MXN,0.07475876
2024-06,MXN,0.07191289
2024-07,MXN,0.07062278
2024-08,MXN,0.07154548
2024-09,MXN,0.06889206
2024-10,MXN,0.0710201
2024-11,MXN,0.07098099
2024-12,MXN,0.06998184
2025-01,MXN,0.06842241
2025-02,MXN,0.06934727
2025-03,MXN,0.06807638
2025-04,MXN,0.06594735
2025-05,MXN,0.06541259
2025-06,MXN,0.06615538
2025-07,MXN,0.06808011
2025-08,MXN,0.06930731
2025-09,MXN,0.0691219
2025-10,MXN,0.06880901
2025-11,MXN,0.06780547
2025-12,MXN,0.06776288
